Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh;
1288;0;10;0;0;2;6;15;B02;
1289;0;14;0;0;2;1;1;B02;
1289;0;7;0;0;2;2;13;A01;
1290;0;7;0;0;2;1;19;A01;
1290;0;33;0;0;2;1;1;B02;
1291;0;7;0;0;2;1;19;A01;
1291;0;7;0;0;2;1;1;B02;
1292;0;7;0;0;1;3;9;A01;
1293;0;7;0;0;2;3;1;B02;
1293;0;7;0;0;2;1;1;A01;
1294;0;30;0;0;2;1;2;A01;
1294;0;10;0;0;0;4;2;B02;
1295;0;7;0;0;2;2;1;B02;
1295;0;7;0;0;2;3;15;A01;
1296;0;7;0;0;0;2;0;A01;
1296;0;7;0;0;2;3;1;B02;
1297;0;30;0;0;2;8;15;A01;
1297;0;7;0;1;2;1;17;B02;
1298;0;33;0;14;0;1;0;A01;
1299;0;7;0;0;2;1;1;A01;
1299;0;10;0;0;2;1;1;C03;
1299;0;36;0;0;2;4;15;B02;
1300;0;1;0;0;2;3;1;B02;
1300;0;7;0;0;2;7;16;A01;
1301;0;7;0;0;2;1;5;A01;
1301;0;7;0;0;2;1;1;B02;
1302;0;10;0;0;1;2;1;A01;
1303;0;7;0;0;2;3;19;A02;
1303;0;33;0;0;2;7;21;B01;
1304;0;7;0;0;2;8;19;B02;
1304;0;7;0;0;2;2;1;A01;
1305;0;31;0;13;0;1;1;A01;
1306;0;14;0;0;0;9;1;A01;
1307;0;7;0;6;0;7;13;A01;
1308;0;7;0;0;2;2;13;A01;
1308;0;7;0;0;2;3;1;B02;
1309;0;30;0;0;2;4;16;A01;
1309;0;7;0;0;2;3;1;B02;
1310;0;7;0;0;2;2;1;B02;
1310;0;7;0;0;2;1;1;A01;
1311;0;7;0;0;2;8;21;B02;
1311;0;33;0;0;2;2;21;A01;
1312;0;7;0;0;1;1;1;A01;
1313;0;33;0;0;2;7;1;B02;
1313;0;7;0;0;2;1;15;A01;
1314;0;33;0;0;2;3;17;A01;
1314;0;7;0;0;2;3;1;B02;
1315;0;31;0;0;2;7;16;A01;
1315;0;7;0;0;2;1;1;B02;
1316;0;7;0;0;1;2;16;A01;
1317;0;15;0;0;2;7;17;A01;
1317;0;1;0;0;2;8;2;B02;
1318;0;7;0;0;2;1;1;B02;
1318;0;7;0;0;2;2;13;A01;
1319;0;7;0;0;1;3;21;A01;
1319;0;7;0;0;1;1;1;B02;
